paper,route,app_question_id,official_question_number,field,official_answer,removed_fragments,replacement_fragments,result
115-3-L11,pdf,PAST-115-3-L11-4,4,A,C,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 2 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-8,8,question,D,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 0 8 月 1 5 日  第 3 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-11,11,question,B,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 0 8 月 1 5 日  第 4 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-14,14,B,B,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 5 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-19,19,question,B,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 0 8 月 1 5 日  第 6 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-22,22,A,B,"[""】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 7 頁,共 15 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-26,26,question,A,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 0 8 月 1 5 日  第 8 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-29,29,C,B,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 9 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-33,33,question,B,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 0 8 月 1 5 日  第 10 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-36,36,B,C,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 11 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-40,40,A,B,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 12 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-44,44,question,D,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 0 8 月 1 5 日  第 13 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-47,47,A,A,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 14 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L11,pdf,PAST-115-3-L11-50,50,B,C,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 0 8 月 1 5 日 第 15 頁,共 15 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-3,3,D,C,"["" 】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 2 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-7,7,question,A,"[""】  第 二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 0 8 月 1 5 日  第 3 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-10,10,A,B,"["" 】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 4 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-13,13,A,B,"["" 】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 5 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-16,16,B,B,"["" 】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 6 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-19,19,D,D,"["" 】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 7 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-23,23,D,A,"["" 】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 8 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-26,26,B,B,"["" 】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 9 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-30,30,question,B,"[""】  第 二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 0 8 月 1 5 日  第 10 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-33,33,C,A,"[""】 第 二 科 : 生成式 AI 應用與規劃 考試日期: 115 年 0 8 月 1 5 日 第 11 頁,共 16 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-37,37,question,C,"[""】  第 二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 0 8 月 1 5 日  第 12 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-40,40,question,A,"[""】  第 二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 0 8 月 1 5 日  第 13 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-43,43,question,D,"[""】  第 二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 0 8 月 1 5 日  第 14 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-46,46,question,B,"[""】  第 二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 0 8 月 1 5 日  第 15 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-3-L12,pdf,PAST-115-3-L12-49,49,question,A,"[""】  第 二 科 : 生成式 AI 應用與規劃  考試日期: 115 年 0 8 月 1 5 日  第 16 頁,共 16 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-4,4,A,B,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 05 月 16 日 第 2 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-8,8,question,A,"[""  】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 3 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-12,12,question,B,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 4 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-16,16,question,D,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 5 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-20,20,question,B,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 6 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-24,24,question,A,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 7 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-27,27,D,A,"["" 】 第一 科 : 人工智慧基礎概論 考試日期: 115 年 05 月 16 日 第 8 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-32,32,question,D,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 9 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-36,36,question,A,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 10 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-40,40,question,C,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 11 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-44,44,question,C,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 12 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L11,pdf,PAST-115-2-L11-48,48,question,B,"[""】  第一 科 : 人工智慧基礎概論  考試日期: 115 年 05 月 16 日  第 13 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-4,4,B,C,"[""】 第二科:生成式 AI 應用與規劃 考試日期: 115 年 0 5 月 16 日 第 2 頁,共 13 頁 ""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-8,8,A,C,"["" 】 第二科:生成式 AI 應用與規劃 考試日期: 115 年 0 5 月 16 日 第 3 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-12,12,question,A,"[""】  第二科:生成式 AI 應用與規劃  考試日期: 115 年 0 5 月 16 日  第 4 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-15,15,question,B,"[""】  第二科:生成式 AI 應用與規劃  考試日期: 115 年 0 5 月 16 日  第 5 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
115-2-L12,pdf,PAST-115-2-L12-19,19,C,C,"["" 】 第二科:生成式 AI 應用與規劃 考試日期: 115 年 0 5 月 16 日 第 6 頁,共 13 頁""]",[],layout text removed; answer unchanged and matches PDF
