stage,id,subject,topic,concept,answer,lengths,ratio,unique_longest,reasons,repeat_ids
before,Q001,L11,L11101,AI、ML、DL 關係,B,18/30/17/9,2.0454545454545454,True,length>=2x;unique-longest-correct;repeated-option-set,"Q001,Q002,Q003"
before,Q002,L11,L11101,AI、ML、DL 關係,C,18/17/30/9,2.0454545454545454,True,length>=2x;unique-longest-correct;repeated-option-set,"Q001,Q002,Q003"
before,Q003,L11,L11101,AI、ML、DL 關係,D,18/9/17/30,2.0454545454545454,True,length>=2x;unique-longest-correct;repeated-option-set,"Q001,Q002,Q003"
before,Q004,L11,L11102,負責任 AI 治理,B,14/27/14/14,1.9285714285714286,True,unique-longest-correct;repeated-option-set,"Q004,Q005,Q006"
before,Q005,L11,L11102,負責任 AI 治理,D,14/14/14/27,1.9285714285714286,True,unique-longest-correct;repeated-option-set,"Q004,Q005,Q006"
before,Q006,L11,L11102,負責任 AI 治理,A,27/14/14/14,1.9285714285714286,True,unique-longest-correct;repeated-option-set,"Q004,Q005,Q006"
before,Q007,L11,L11201,結構化與非結構化資料,C,6/6/5/5,0.8823529411764706,False,repeated-option-set,"Q007,Q008,Q009"
before,Q008,L11,L11201,結構化與非結構化資料,D,6/5/6/5,0.8823529411764706,False,repeated-option-set,"Q007,Q008,Q009"
before,Q009,L11,L11201,結構化與非結構化資料,A,5/6/5/6,0.8823529411764706,False,repeated-option-set,"Q007,Q008,Q009"
before,Q010,L11,L11202,避免 Data Leakage,C,7/15/29/17,2.230769230769231,True,length>=2x;unique-longest-correct;repeated-option-set,"Q010,Q011,Q012"
before,Q011,L11,L11202,避免 Data Leakage,A,29/15/17/7,2.230769230769231,True,length>=2x;unique-longest-correct;repeated-option-set,"Q010,Q011,Q012"
before,Q012,L11,L11202,避免 Data Leakage,C,17/7/29/15,2.230769230769231,True,length>=2x;unique-longest-correct;repeated-option-set,"Q010,Q011,Q012"
before,Q013,L11,L11203,資料最小化,D,12/11/17/15,1.125,False,repeated-option-set,"Q013,Q014,Q015"
before,Q014,L11,L11203,資料最小化,C,11/17/15/12,1.125,False,repeated-option-set,"Q013,Q014,Q015"
before,Q015,L11,L11203,資料最小化,D,17/11/12/15,1.125,False,repeated-option-set,"Q013,Q014,Q015"
before,Q016,L11,L11301,過擬合,C,2/5/16/17,2.0,False,length>=2x;repeated-option-set,"Q016,Q017,Q018"
before,Q017,L11,L11301,過擬合,D,2/17/5/16,2.0,False,length>=2x;repeated-option-set,"Q016,Q017,Q018"
before,Q018,L11,L11301,過擬合,C,5/2/16/17,2.0,False,length>=2x;repeated-option-set,"Q016,Q017,Q018"
before,Q019,L11,L11302,監督式學習,B,5/5/6/4,1.0,False,repeated-option-set,"Q019,Q020,Q021"
before,Q020,L11,L11302,監督式學習,B,4/5/6/5,1.0,False,repeated-option-set,"Q019,Q020,Q021"
before,Q021,L11,L11302,監督式學習,D,5/6/4/5,1.0,False,repeated-option-set,"Q019,Q020,Q021"
before,Q022,L11,L11401,生成式與鑑別式 AI,D,11/6/13/25,2.5,True,length>=2x;unique-longest-correct;repeated-option-set,"Q022,Q023,Q024"
before,Q023,L11,L11401,生成式與鑑別式 AI,D,13/6/11/25,2.5,True,length>=2x;unique-longest-correct;repeated-option-set,"Q022,Q023,Q024"
before,Q024,L11,L11401,生成式與鑑別式 AI,C,6/13/25/11,2.5,True,length>=2x;unique-longest-correct;repeated-option-set,"Q022,Q023,Q024"
before,Q025,L11,L11402,整合應用,D,12/13/16/24,1.7560975609756098,True,unique-longest-correct;repeated-option-set,"Q025,Q026,Q027"
before,Q026,L11,L11402,整合應用,B,12/24/16/13,1.7560975609756098,True,unique-longest-correct;repeated-option-set,"Q025,Q026,Q027"
before,Q027,L11,L11402,整合應用,B,13/24/16/12,1.7560975609756098,True,unique-longest-correct;repeated-option-set,"Q025,Q026,Q027"
before,Q028,L12,L12101,No Code / Low Code,C,14/22/29/10,1.891304347826087,True,unique-longest-correct;repeated-option-set,"Q028,Q029,Q030"
before,Q029,L12,L12101,No Code / Low Code,D,14/22/10/29,1.891304347826087,True,unique-longest-correct;repeated-option-set,"Q028,Q029,Q030"
before,Q030,L12,L12101,No Code / Low Code,A,29/22/14/10,1.891304347826087,True,unique-longest-correct;repeated-option-set,"Q028,Q029,Q030"
before,Q031,L12,L12102,限制與選型,C,24/18/20/19,0.9836065573770493,False,repeated-option-set,"Q031,Q032,Q033"
before,Q032,L12,L12102,限制與選型,D,18/24/19/20,0.9836065573770493,False,repeated-option-set,"Q031,Q032,Q033"
before,Q033,L12,L12102,限制與選型,C,24/19/20/18,0.9836065573770493,False,repeated-option-set,"Q031,Q032,Q033"
before,Q034,L12,L12201,工具選擇,C,8/15/25/11,2.205882352941176,True,length>=2x;unique-longest-correct;repeated-option-set,"Q034,Q035,Q036"
before,Q035,L12,L12201,工具選擇,C,11/15/25/8,2.205882352941176,True,length>=2x;unique-longest-correct;repeated-option-set,"Q034,Q035,Q036"
before,Q036,L12,L12201,工具選擇,A,25/8/11/15,2.205882352941176,True,length>=2x;unique-longest-correct;repeated-option-set,"Q034,Q035,Q036"
before,Q037,L12,L12202,Prompt 設計,C,15/9/22/10,1.9411764705882353,True,unique-longest-correct;repeated-option-set,"Q037,Q038,Q039"
before,Q038,L12,L12202,Prompt 設計,A,22/9/15/10,1.9411764705882353,True,unique-longest-correct;repeated-option-set,"Q037,Q038,Q039"
before,Q039,L12,L12202,Prompt 設計,A,22/10/15/9,1.9411764705882353,True,unique-longest-correct;repeated-option-set,"Q037,Q038,Q039"
before,Q040,L12,L12301,導入評估,B,8/29/12/14,2.5588235294117645,True,length>=2x;unique-longest-correct;repeated-option-set,"Q040,Q041,Q042"
before,Q041,L12,L12301,導入評估,D,12/8/14/29,2.5588235294117645,True,length>=2x;unique-longest-correct;repeated-option-set,"Q040,Q041,Q042"
before,Q042,L12,L12301,導入評估,B,12/29/14/8,2.5588235294117645,True,length>=2x;unique-longest-correct;repeated-option-set,"Q040,Q041,Q042"
before,Q043,L12,L12302,PoC / Pilot,A,21/13/12/6,2.032258064516129,True,length>=2x;unique-longest-correct;repeated-option-set,"Q043,Q044,Q045"
